article_id,prod_name,category,perceived_colour_master_name,detail_desc
D000001,Sequin Ballgown,Evening,Gold,"Stunning floor-length ballgown with all-over sequin embellishment. Features a sweetheart neckline, corset back, and full tulle underskirt. Built-in boning provides structure. Perfect for galas and formal events."
D000002,Velvet Mermaid Dress,Evening,Burgundy,Luxurious velvet mermaid dress with deep V-neckline and open back. Fitted through hips with dramatic flare. Features crystal beading at waist and shoulder straps.
D000003,Satin Evening Gown,Evening,Emerald,Classic satin evening gown with cowl neck and elegant draped back. Side slit and sweep train add drama. Internal structure provides support.
D000004,Beaded Column Dress,Evening,Silver,"Sleek column dress with intricate beading throughout. High neck, cap sleeves, and side slit. Vintage-inspired art deco pattern."
D000005,Chiffon Cape Dress,Evening,Navy,Sophisticated dress with attached flowing cape. Floor length with gentle gathering. Empire waist and subtle beading.
D000006,Ruched Mini Dress,Cocktail,Black,Form-fitting mini dress with strategic ruching. Asymmetrical neckline and single long sleeve. Made from luxury stretch fabric.
D000007,Pleated Party Dress,Cocktail,Red,Playful party dress with knife pleats throughout. Fit and flare silhouette with bow detail at waist. Hidden pockets.
D000008,Metallic Wrap Dress,Cocktail,Rose Gold,Shimmering metallic wrap dress perfect for cocktail parties. Adjustable waist tie and flutter sleeves. Above-knee length.
D000009,Lace Cocktail Dress,Cocktail,Wine,"Classic cocktail dress in delicate lace. Scalloped V-neck and hem, cap sleeves. Lined in soft jersey."
D000010,Ruffled Mini Dress,Cocktail,Electric Blue,Fun and flirty mini dress with cascading ruffles. One-shoulder design with side zip. Perfect for parties.
D000011,Tailored Sheath Dress,Work,Charcoal,Professional sheath dress in wool blend suiting fabric. Subtle dart detailing and back vent. Perfect for business meetings.
D000012,Button-Front Shirt Dress,Work,White,Classic shirt dress with button-front closure. Belt defines waist. Made from wrinkle-resistant cotton blend.
D000013,Structured A-Line Dress,Work,Navy,Polished A-line dress with princess seams. Three-quarter sleeves and knee length. Hidden back zip.
D000014,Ponte Knit Dress,Work,Black,Comfortable yet professional dress in stable ponte knit. Slight stretch with clean lines. Machine washable.
D000015,Blazer Dress,Work,Grey,Sophisticated blazer dress with peaked lapels. Double-breasted button closure. Perfect for power meetings.
D000016,T-Shirt Dress,Casual,Heather Grey,Easy-wearing T-shirt dress in soft jersey. Side slits and chest pocket. Perfect for weekend errands.
D000017,Denim Shirt Dress,Casual,Light Wash,Casual denim dress with snap closures. Roll-tab sleeves and self-belt. Western-inspired details.
D000018,Knit Sweater Dress,Casual,Oatmeal,Cozy sweater dress in chunky cotton knit. Ribbed trim and kangaroo pocket. Perfect for cool days.
D000019,Jersey Maxi Dress,Casual,Black,Simple maxi dress in soft jersey. Side slits and racerback. Easy pull-on style.
D000020,Hoodie Dress,Casual,Sage,Sporty hoodie dress in French terry. Kangaroo pocket and drawstring hood. Perfect for athleisure.
D000021,Linen Sundress,Summer,White,Breezy linen sundress with button front. Adjustable straps and patch pockets. Perfect for hot days.
D000022,Cotton Wrap Dress,Summer,Yellow Floral,Fresh floral wrap dress in lightweight cotton. Flutter sleeves and ruffle hem. True wrap style.
D000023,Beach Kaftan,Summer,Turquoise,Flowing beach kaftan in semi-sheer fabric. Embroidered neckline and side slits. Perfect as coverup.
D000024,Halter Maxi Dress,Summer,Coral,Vibrant maxi dress with halter neckline. Smocked bodice and tiered skirt. Perfect for vacations.
D000025,Off-Shoulder Dress,Summer,Blue Stripe,Striped off-shoulder dress in cotton poplin. Elastic neckline and flared skirt. Summer essential.
D000026,Bridesmaid Dress,Special Occasion,Dusty Rose,Elegant bridesmaid dress in chiffon. Convertible straps can be styled multiple ways. Floor length.
D000027,Mother of Bride Dress,Special Occasion,Champagne,Sophisticated dress with matching jacket. Beaded trim and three-quarter sleeves. Tea length.
D000028,Graduation Dress,Special Occasion,White,Classic fit and flare dress perfect for graduation. Subtle texture and cap sleeves. Above knee length.
D000029,Rehearsal Dinner Dress,Special Occasion,Ivory,Sweet midi dress in textured fabric. Bow back detail and pockets. Perfect for wedding events.
D000030,Garden Party Dress,Special Occasion,Floral Print,Romantic dress in watercolor floral print. Cap sleeves and full skirt. Perfect for outdoor events.
D000031,Cutout Midi Dress,Trendy,Hot Pink,Fashion-forward dress with strategic cutouts. High neck and midi length. Made from stretch crepe.
D000032,Oversized Shirt Dress,Trendy,White,Trendy oversized shirt dress with high slits. Drop shoulders and oversized cuffs. Modern minimalist style.
D000033,Slip Dress,Trendy,Black,Minimal slip dress in silky fabric. Thin straps and straight cut. Layer over t-shirt for trend look.
D000034,Puff Sleeve Mini,Trendy,Green,Statement mini dress with dramatic puff sleeves. Square neck and fitted bodice. Very Instagram-worthy.
D000035,Mesh Overlay Dress,Trendy,Neon Yellow,Edgy dress with mesh overlay. Long sleeves and mini length. Perfect for festival season.
D000036,Organic Cotton Dress,Sustainable,Natural,Eco-friendly dress in organic cotton. Simple shift style with patch pockets. GOTS certified.
D000037,Recycled Fiber Dress,Sustainable,Ocean Blue,Sustainable dress made from recycled ocean plastic. A-line style with cap sleeves. Reduces waste.
D000038,Hemp Maxi Dress,Sustainable,Earth Brown,Environmental maxi dress in hemp blend. Button front and tie waist. Biodegradable materials.
D000039,Tencel Shirt Dress,Sustainable,Sage Green,Eco-conscious shirt dress in Tencel lyocell. Classic style with self-belt. Sustainable production.
D000040,Deadstock Fabric Dress,Sustainable,Mixed Print,Zero-waste dress made from deadstock fabric. One-of-a-kind print. Reduces fashion waste.
D000041,Tea Party Dress,Occasion,Pastel Floral,Feminine dress perfect for afternoon tea. Lace trim and peter pan collar. Vintage-inspired style.
D000042,Gallery Opening Dress,Occasion,Abstract Print,Artistic dress in bold abstract print. Asymmetric hem and draping. Makes a statement.
D000043,Resort Dinner Dress,Occasion,Tropical Print,Resort-ready dress in exotic print. One-shoulder style and side slit. Perfect for vacation dinners.
D000044,Theater Dress,Occasion,Deep Purple,Dramatic midi dress for evening theater. Velvet trim and cape back. Makes an entrance.
D000045,Cruise Formal Dress,Occasion,Metallic Blue,Elegant dress for cruise formal night. Grecian draping and embellished shoulder. Floor length.
D000046,Sweater Dress,Winter,Burgundy,Cozy sweater dress in merino wool blend. Turtleneck and long sleeves. Perfect for cold weather.
D000047,Velvet Midi Dress,Winter,Forest Green,Rich velvet midi dress for winter events. Long sleeves and subtle stretch. Festive and warm.
D000048,Knit Maxi Dress,Winter,Charcoal,Warm maxi dress in heavy jersey knit. Mock neck and side slits. Layer over boots.
D000049,Wool Shift Dress,Winter,Camel,Classic shift dress in Italian wool. Three-quarter sleeves and patch pockets. Perfect for winter work.
D000050,Fleece Sweater Dress,Winter,Grey Marl,Ultra-warm dress in plush fleece. Cowl neck and kangaroo pocket. Cozy winter essential.
